City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,oeiras do para,-2.0031,-49.8544,87.71,60,72,6.11,BR,1706538673
279,smithers,54.7804,-127.1743,43.12,81,100,10.36,CA,1706538674
280,yaren,-0.5472,166.916,84.31,68,73,18.34,NR,1706538674
281,ola,59.5833,151.2833,-9.78,84,13,6.82,RU,1706538674
282,pemangkat,1.1667,108.9667,77.88,88,90,10.07,ID,1706538674
283,newman,37.3138,-121.0208,48.29,76,2,2.59,US,1706538674
284,banda aceh,5.5577,95.3222,79.9,82,33,6.17,ID,1706538385
285,igarka,67.4667,86.5833,-1.01,80,100,11.23,RU,1706538675
286,alta sierra,35.7291,-118.5495,42.78,53,62,5.73,US,1706538675
287,turiacu,-1.6633,-45.3717,90.25,49,35,9.01,BR,1706538675
288,la passe,45.5549,-0.8967,61.03,78,100,13.65,FR,1706538675
289,selfoss,63.9331,-20.9971,37.04,96,100,26.4,IS,1706538675
290,kiunga,-6.1219,141.2906,74.75,99,100,2.86,PG,1706538675
291,bardai,11.65,7.2333,86.67,10,3,12.48,NG,1706538675
292,rio grande,-32.035,-52.0986,80.71,70,63,10.6,BR,1706538676
293,tiassale,5.8983,-4.8283,103.08,17,60,1.48,CI,1706538676
294,alotau,5.8983,-4.8283,103.08,17,60,1.48,CI,1706538676
295,minas de marcona,-15.2119,-75.1103,73.53,61,97,10.31,PE,1706538676
296,lichinga,-13.3128,35.2406,72.66,74,7,4.9,MZ,1706538676
297,jinshi,29.6049,111.8701,41.04,91,64,6.04,CN,1706538676
298,luancheng,37.8792,114.6517,28.56,60,16,6.02,CN,1706538677
299,naryn,41.4287,75.9911,21.49,92,100,1.52,KG,1706538677
300,borba,-4.3878,-59.5939,76.32,90,100,2.28,BR,1706538677
301,talisayan,6.9872,121.9272,78.17,82,100,5.75,PH,1706538677
302,itoman,26.1247,127.6694,66.97,60,40,6.91,JP,1706538677
303,arbelaez,4.2725,-74.4151,76.57,67,36,5.08,CO,1706538677
304,harstad,68.799,16.5293,40.39,77,100,48.0,NO,1706538678
305,sumbawa besar,-8.5,117.4333,76.5,93,100,2.21,ID,1706538678
306,suomussalmi,64.8869,28.9078,35.17,80,89,16.89,FI,1706538678
307,puquio,-14.7,-74.1333,62.17,60,98,3.56,PE,1706538678
308,ninh binh,20.2539,105.975,59.67,80,99,1.45,VN,1706538678
309,kyzyl-suu,42.3414,78.0056,29.89,94,100,3.11,KG,1706538678
310,green river,41.5286,-109.4662,32.4,8,100,1.59,US,1706538679
311,klaksvik,62.2266,-6.589,47.32,80,22,30.98,FO,1706538679
312,crateus,-5.1783,-40.6775,97.32,26,91,9.31,BR,1706538679
313,nizhneudinsk,54.9076,99.0276,-18.26,99,19,2.98,RU,1706538679
314,vilyuchinsk,52.9306,158.4028,5.94,88,83,7.56,RU,1706538680
315,serang,-6.1149,106.1502,79.45,85,98,4.07,ID,1706538681
316,dhidhdhoo,6.8833,73.1,81.73,67,6,9.8,MV,1706538681
317,san juan de los morros,9.9115,-67.3538,86.97,31,4,6.87,VE,1706538681
318,mutoko,-17.397,32.2268,76.42,56,65,5.79,ZW,1706538681
319,lompoc,34.6391,-120.4579,59.58,87,0,11.5,US,1706538681
320,griffith,41.5284,-87.4237,32.11,93,100,8.05,US,1706538681
321,akureyri,65.6835,-18.0878,28.33,93,75,0.0,IS,1706538682
322,bedesa,8.9,40.7833,72.95,52,60,4.05,ET,1706538682
323,paracuru,-3.41,-39.0306,86.11,56,81,15.19,BR,1706538682
324,plettenberg bay,-34.0527,23.3716,73.9,66,100,2.95,ZA,1706538682
325,phongsali,21.6833,102.1058,48.67,99,15,0.87,LA,1706538682
326,cargados carajos,21.6833,102.1058,48.67,99,15,0.87,LA,1706538682
327,turkmenabat,39.0733,63.5786,40.98,87,0,2.3,TM,1706538683
328,uturoa,-16.7333,-151.4333,82.69,77,86,3.8,PF,1706538683
